year,month,pagecount_desktop_views,pagecount_mobile_views,pageview_desktop_views,pageview_mobile_views,pagecount_all_views,pageview_all_views,time
2008,01,4930902570,0,0,0,4930902570,0,2008-01
2008,02,4818393763,0,0,0,4818393763,0,2008-02
2008,03,4955405809,0,0,0,4955405809,0,2008-03
2008,04,5159162183,0,0,0,5159162183,0,2008-04
2008,05,5584691092,0,0,0,5584691092,0,2008-05
2008,06,5712104279,0,0,0,5712104279,0,2008-06
2008,07,5306302874,0,0,0,5306302874,0,2008-07
2008,08,5140155519,0,0,0,5140155519,0,2008-08
2008,09,5479533823,0,0,0,5479533823,0,2008-09
2008,10,5679440782,0,0,0,5679440782,0,2008-10
2008,11,5415832071,0,0,0,5415832071,0,2008-11
2008,12,5211708451,0,0,0,5211708451,0,2008-12
2009,01,5802681551,0,0,0,5802681551,0,2009-01
2009,02,5547320860,0,0,0,5547320860,0,2009-02
2009,03,6295159057,0,0,0,6295159057,0,2009-03
2009,04,5988817321,0,0,0,5988817321,0,2009-04
2009,05,6267516733,0,0,0,6267516733,0,2009-05
2009,06,5818924182,0,0,0,5818924182,0,2009-06
2009,07,5801646978,0,0,0,5801646978,0,2009-07
2009,08,5790850384,0,0,0,5790850384,0,2009-08
2009,09,4057515768,0,0,0,4057515768,0,2009-09
2009,10,6016107147,0,0,0,6016107147,0,2009-10
2009,11,5768486910,0,0,0,5768486910,0,2009-11
2009,12,5426505977,0,0,0,5426505977,0,2009-12
2010,01,5703465285,0,0,0,5703465285,0,2010-01
2010,02,5762451418,0,0,0,5762451418,0,2010-02
2010,03,6661347946,0,0,0,6661347946,0,2010-03
2010,04,6618552152,0,0,0,6618552152,0,2010-04
2010,05,6410578775,0,0,0,6410578775,0,2010-05
2010,06,4898035014,0,0,0,4898035014,0,2010-06
2010,07,5296177638,0,0,0,5296177638,0,2010-07
2010,08,7381346660,0,0,0,7381346660,0,2010-08
2010,09,7546488744,0,0,0,7546488744,0,2010-09
2010,10,10172844562,0,0,0,10172844562,0,2010-10
2010,11,6948678354,0,0,0,6948678354,0,2010-11
2010,12,7001952100,0,0,0,7001952100,0,2010-12
2011,01,7568511227,0,0,0,7568511227,0,2011-01
2011,02,6906248849,0,0,0,6906248849,0,2011-02
2011,03,7326545928,0,0,0,7326545928,0,2011-03
2011,04,6835492088,0,0,0,6835492088,0,2011-04
2011,05,7009799378,0,0,0,7009799378,0,2011-05
2011,06,6536675534,0,0,0,6536675534,0,2011-06
2011,07,6571730164,0,0,0,6571730164,0,2011-07
2011,08,6514500361,0,0,0,6514500361,0,2011-08
2011,09,5837738935,0,0,0,5837738935,0,2011-09
2011,10,6974424665,0,0,0,6974424665,0,2011-10
2011,11,7507641641,0,0,0,7507641641,0,2011-11
2011,12,6396357939,0,0,0,6396357939,0,2011-12
2012,01,7808477339,0,0,0,7808477339,0,2012-01
2012,02,7530127141,0,0,0,7530127141,0,2012-02
2012,03,7358543625,0,0,0,7358543625,0,2012-03
2012,04,7220029422,0,0,0,7220029422,0,2012-04
2012,05,7784479302,0,0,0,7784479302,0,2012-05
2012,06,7524265988,0,0,0,7524265988,0,2012-06
